"sample","ID_trt","n_trt","drought","plant","time","type","total.leaf.area"
"B1_HN_WW_P1_t2_disk","B1","HN","WW","1","t2","disk",5.779
"B1_HN_WW_P1_t3_disk","B1","HN","WW","1","t3","disk",6.333
"B1_HN_WW_P1_t4_disk","B1","HN","WW","1","t4","disk",6.314
"B1_HN_WW_P2_t2_disk","B1","HN","WW","2","t2","disk",5.64
"B1_HN_WW_P2_t3_disk","B1","HN","WW","2","t3","disk",6.355
"B1_HN_WW_P2_t4_disk","B1","HN","WW","2","t4","disk",6.156
"B1_HN_WW_P3_t2_disk","B1","HN","WW","3","t2","disk",5.949
"B1_HN_WW_P3_t3_disk","B1","HN","WW","3","t3","disk",6.314
"B1_HN_WW_P3_t4_disk","B1","HN","WW","3","t4","disk",6.22
"B1_HN_WW_P4_t2_disk","B1","HN","WW","4","t2","disk",5.823
"B1_HN_WW_P4_t3_disk","B1","HN","WW","4","t3","disk",6.299
"B1_HN_WW_P4_t4_disk","B1","HN","WW","4","t4","disk",6.923
"B1_HN_WW_P5_t2_disk","B1","HN","WW","5","t2","disk",5.75
"B1_HN_WW_P5_t3_disk","B1","HN","WW","5","t3","disk",6.408
"B1_HN_WW_P5_t4_disk","B1","HN","WW","5","t4","disk",6.153
"B1_HN_WW_P6_t2_disk","B1","HN","WW","6","t2","disk",5.839
"B1_HN_WW_P6_t3_disk","B1","HN","WW","6","t3","disk",6.335
"B1_HN_WW_P6_t4_disk","B1","HN","WW","6","t4","disk",6.244
"B1_HN_WW_P7_t2_disk","B1","HN","WW","7","t2","disk",6.265
"B1_HN_WW_P7_t3_disk","B1","HN","WW","7","t3","disk",6.336
"B1_HN_WW_P7_t4_disk","B1","HN","WW","7","t4","disk",6.309
"B1_HN_WW_P8_t2_disk","B1","HN","WW","8","t2","disk",6.16
"B1_HN_WW_P8_t3_disk","B1","HN","WW","8","t3","disk",6.807
"B1_HN_WW_P8_t4_disk","B1","HN","WW","8","t4","disk",6.293
"B2_LN_SPD_P1_t2_disk","B2","LN","SPD","1","t2","disk",6.227
"B2_LN_SPD_P1_t3_disk","B2","LN","SPD","1","t3","disk",6.401
"B2_LN_SPD_P1_t4_disk","B2","LN","SPD","1","t4","disk",6.522
"B2_LN_SPD_P2_t2_disk","B2","LN","SPD","2","t2","disk",6.362
"B2_LN_SPD_P2_t3_disk","B2","LN","SPD","2","t3","disk",6.476
"B2_LN_SPD_P2_t4_disk","B2","LN","SPD","2","t4","disk",6.382
"B2_LN_SPD_P3_t2_disk","B2","LN","SPD","3","t2","disk",6.295
"B2_LN_SPD_P3_t3_disk","B2","LN","SPD","3","t3","disk",6.368
"B2_LN_SPD_P3_t4_disk","B2","LN","SPD","3","t4","disk",6.397
"B2_LN_SPD_P4_t2_disk","B2","LN","SPD","4","t2","disk",6.268
"B2_LN_SPD_P4_t3_disk","B2","LN","SPD","4","t3","disk",6.372
"B2_LN_SPD_P4_t4_disk","B2","LN","SPD","4","t4","disk",6.466
"B2_LN_SPD_P5_t2_disk","B2","LN","SPD","5","t2","disk",6.305
"B2_LN_SPD_P5_t3_disk","B2","LN","SPD","5","t3","disk",6.4
"B2_LN_SPD_P5_t4_disk","B2","LN","SPD","5","t4","disk",6.441
"B2_LN_SPD_P6_t2_disk","B2","LN","SPD","6","t2","disk",6.1
"B2_LN_SPD_P6_t3_disk","B2","LN","SPD","6","t3","disk",6.157
"B2_LN_SPD_P6_t4_disk","B2","LN","SPD","6","t4","disk",6.346
"B2_LN_SPD_P7_t2_disk","B2","LN","SPD","7","t2","disk",6.337
"B2_LN_SPD_P7_t3_disk","B2","LN","SPD","7","t3","disk",6.295
"B2_LN_SPD_P7_t4_disk","B2","LN","SPD","7","t4","disk",6.381
"B2_LN_SPD_P8_t2_disk","B2","LN","SPD","8","t2","disk",6.879
"B2_LN_SPD_P8_t3_disk","B2","LN","SPD","8","t3","disk",6.62
"B2_LN_SPD_P8_t4_disk","B2","LN","SPD","8","t4","disk",6.518
"B3_LN_FDD_P1_t2_disk","B3","LN","FDD","1","t2","disk",6.297
"B3_LN_FDD_P1_t3_disk","B3","LN","FDD","1","t3","disk",6.291
"B3_LN_FDD_P1_t4_disk","B3","LN","FDD","1","t4","disk",6.498
"B3_LN_FDD_P2_t2_disk","B3","LN","FDD","2","t2","disk",6.379
"B3_LN_FDD_P2_t3_disk","B3","LN","FDD","2","t3","disk",6.315
"B3_LN_FDD_P2_t4_disk","B3","LN","FDD","2","t4","disk",6.186
"B3_LN_FDD_P3_t2_disk","B3","LN","FDD","3","t2","disk",6.337
"B3_LN_FDD_P3_t3_disk","B3","LN","FDD","3","t3","disk",6.301
"B3_LN_FDD_P3_t4_disk","B3","LN","FDD","3","t4","disk",7.225
"B3_LN_FDD_P4_t2_disk","B3","LN","FDD","4","t2","disk",6.38
"B3_LN_FDD_P4_t3_disk","B3","LN","FDD","4","t3","disk",6.363
"B3_LN_FDD_P4_t4_disk","B3","LN","FDD","4","t4","disk",6.489
"B3_LN_FDD_P5_t2_disk","B3","LN","FDD","5","t2","disk",6.395
"B3_LN_FDD_P5_t3_disk","B3","LN","FDD","5","t3","disk",6.512
"B3_LN_FDD_P5_t4_disk","B3","LN","FDD","5","t4","disk",6.41
"B3_LN_FDD_P6_t2_disk","B3","LN","FDD","6","t2","disk",6.832
"B3_LN_FDD_P6_t3_disk","B3","LN","FDD","6","t3","disk",6.485
"B3_LN_FDD_P6_t4_disk","B3","LN","FDD","6","t4","disk",6.466
"B3_LN_FDD_P7_t2_disk","B3","LN","FDD","7","t2","disk",6.349
"B3_LN_FDD_P7_t3_disk","B3","LN","FDD","7","t3","disk",6.458
"B3_LN_FDD_P7_t4_disk","B3","LN","FDD","7","t4","disk",6.326
"B3_LN_FDD_P8_t2_disk","B3","LN","FDD","8","t2","disk",6.221
"B3_LN_FDD_P8_t3_disk","B3","LN","FDD","8","t3","disk",6.518
"B3_LN_FDD_P8_t4_disk","B3","LN","FDD","8","t4","disk",6.168
"B5_HN_SPD_P1_t2_disk","B5","HN","SPD","1","t2","disk",5.821
"B5_HN_SPD_P1_t3_disk","B5","HN","SPD","1","t3","disk",6.337
"B5_HN_SPD_P1_t4_disk","B5","HN","SPD","1","t4","disk",6.899
"B5_HN_SPD_P2_t2_disk","B5","HN","SPD","2","t2","disk",6.056
"B5_HN_SPD_P2_t3_disk","B5","HN","SPD","2","t3","disk",6.334
"B5_HN_SPD_P2_t4_disk","B5","HN","SPD","2","t4","disk",6.195
"B5_HN_SPD_P3_t2_disk","B5","HN","SPD","3","t2","disk",6.056
"B5_HN_SPD_P3_t3_disk","B5","HN","SPD","3","t3","disk",6.381
"B5_HN_SPD_P3_t4_disk","B5","HN","SPD","3","t4","disk",6.26
"B5_HN_SPD_P4_t2_disk","B5","HN","SPD","4","t2","disk",6.04
"B5_HN_SPD_P4_t3_disk","B5","HN","SPD","4","t3","disk",6.162
"B5_HN_SPD_P4_t4_disk","B5","HN","SPD","4","t4","disk",6.09
"B5_HN_SPD_P5_t2_disk","B5","HN","SPD","5","t2","disk",6.037
"B5_HN_SPD_P5_t3_disk","B5","HN","SPD","5","t3","disk",6.804
"B5_HN_SPD_P5_t4_disk","B5","HN","SPD","5","t4","disk",6.146
"B5_HN_SPD_P6_t2_disk","B5","HN","SPD","6","t2","disk",6.354
"B5_HN_SPD_P6_t3_disk","B5","HN","SPD","6","t3","disk",6.454
"B5_HN_SPD_P6_t4_disk","B5","HN","SPD","6","t4","disk",6.351
"B5_HN_SPD_P7_t2_disk","B5","HN","SPD","7","t2","disk",6.04
"B5_HN_SPD_P7_t3_disk","B5","HN","SPD","7","t3","disk",6.318
"B5_HN_SPD_P7_t4_disk","B5","HN","SPD","7","t4","disk",6.218
"B5_HN_SPD_P8_t2_disk","B5","HN","SPD","8","t2","disk",5.491
"B5_HN_SPD_P8_t3_disk","B5","HN","SPD","8","t3","disk",6.309
"B5_HN_SPD_P8_t4_disk","B5","HN","SPD","8","t4","disk",6.375
"B6_HN_FDD_P1_t2_disk","B6","HN","FDD","1","t2","disk",6.08
"B6_HN_FDD_P1_t3_disk","B6","HN","FDD","1","t3","disk",6.9
"B6_HN_FDD_P1_t4_disk","B6","HN","FDD","1","t4","disk",6.326
"B6_HN_FDD_P2_t2_disk","B6","HN","FDD","2","t2","disk",6.23
"B6_HN_FDD_P2_t3_disk","B6","HN","FDD","2","t3","disk",6.252
"B6_HN_FDD_P2_t4_disk","B6","HN","FDD","2","t4","disk",6.646
"B6_HN_FDD_P3_t2_disk","B6","HN","FDD","3","t2","disk",6.209
"B6_HN_FDD_P3_t3_disk","B6","HN","FDD","3","t3","disk",6.403
"B6_HN_FDD_P3_t4_disk","B6","HN","FDD","3","t4","disk",6.331
"B6_HN_FDD_P4_t2_disk","B6","HN","FDD","4","t2","disk",5.475
"B6_HN_FDD_P4_t3_disk","B6","HN","FDD","4","t3","disk",6.415
"B6_HN_FDD_P4_t4_disk","B6","HN","FDD","4","t4","disk",6.218
"B6_HN_FDD_P5_t2_disk","B6","HN","FDD","5","t2","disk",6.14
"B6_HN_FDD_P5_t3_disk","B6","HN","FDD","5","t3","disk",6.303
"B6_HN_FDD_P5_t4_disk","B6","HN","FDD","5","t4","disk",6.363
"B6_HN_FDD_P6_t2_disk","B6","HN","FDD","6","t2","disk",6.208
"B6_HN_FDD_P6_t3_disk","B6","HN","FDD","6","t3","disk",6.494
"B6_HN_FDD_P6_t4_disk","B6","HN","FDD","6","t4","disk",7.637
"B6_HN_FDD_P7_t2_disk","B6","HN","FDD","7","t2","disk",6.147
"B6_HN_FDD_P7_t3_disk","B6","HN","FDD","7","t3","disk",6.2
"B6_HN_FDD_P7_t4_disk","B6","HN","FDD","7","t4","disk",6.834
"B6_HN_FDD_P8_t2_disk","B6","HN","FDD","8","t2","disk",6.304
"B6_HN_FDD_P8_t3_disk","B6","HN","FDD","8","t3","disk",6.446
"B6_HN_FDD_P8_t4_disk","B6","HN","FDD","8","t4","disk",6.256
"B7_LN_WW_P1_t2_disk","B7","LN","WW","1","t2","disk",5.858
"B7_LN_WW_P1_t3_disk","B7","LN","WW","1","t3","disk",6.536
"B7_LN_WW_P1_t4_disk","B7","LN","WW","1","t4","disk",6.245
"B7_LN_WW_P2_t2_disk","B7","LN","WW","2","t2","disk",5.723
"B7_LN_WW_P2_t3_disk","B7","LN","WW","2","t3","disk",6.426
"B7_LN_WW_P2_t4_disk","B7","LN","WW","2","t4","disk",6.428
"B7_LN_WW_P3_t2_disk","B7","LN","WW","3","t2","disk",5.79
"B7_LN_WW_P3_t3_disk","B7","LN","WW","3","t3","disk",6.487
"B7_LN_WW_P3_t4_disk","B7","LN","WW","3","t4","disk",6.351
"B7_LN_WW_P4_t2_disk","B7","LN","WW","4","t2","disk",5.986
"B7_LN_WW_P4_t3_disk","B7","LN","WW","4","t3","disk",6.589
"B7_LN_WW_P4_t4_disk","B7","LN","WW","4","t4","disk",6.289
"B7_LN_WW_P5_t2_disk","B7","LN","WW","5","t2","disk",5.79
"B7_LN_WW_P5_t3_disk","B7","LN","WW","5","t3","disk",6.388
"B7_LN_WW_P5_t4_disk","B7","LN","WW","5","t4","disk",6.382
"B7_LN_WW_P6_t2_disk","B7","LN","WW","6","t2","disk",5.847
"B7_LN_WW_P6_t3_disk","B7","LN","WW","6","t3","disk",6.355
"B7_LN_WW_P6_t4_disk","B7","LN","WW","6","t4","disk",6.963
"B7_LN_WW_P7_t2_disk","B7","LN","WW","7","t2","disk",6.208
"B7_LN_WW_P7_t3_disk","B7","LN","WW","7","t3","disk",6.246
"B7_LN_WW_P7_t4_disk","B7","LN","WW","7","t4","disk",6.884
"B7_LN_WW_P8_t2_disk","B7","LN","WW","8","t2","disk",5.936
"B7_LN_WW_P8_t3_disk","B7","LN","WW","8","t3","disk",6.354
"B7_LN_WW_P8_t4_disk","B7","LN","WW","8","t4","disk",6.307
