date,ID_trt,plant,n_trt,drought,time,leaves_disk_mg_noChl,nb_disks_scanned,nb_disks_chlorophyll
25-May,B1,1,HN,predrought,t1,16.8,5,0
25-May,B1,2,HN,predrought,t1,17,7,0
25-May,B1,3,HN,predrought,t1,18.3,8,0
25-May,B1,4,HN,predrought,t1,17.3,8,0
25-May,B1,5,HN,predrought,t1,18.2,8,0
25-May,B1,6,HN,predrought,t1,16.5,6,0
25-May,B1,7,HN,predrought,t1,15,6,0
25-May,B1,8,HN,predrought,t1,20.7,8,0
25-May,B5,1,HN,predrought,t1,22.3,8,0
25-May,B5,2,HN,predrought,t1,18.6,8,0
25-May,B5,3,HN,predrought,t1,18,8,0
25-May,B5,4,HN,predrought,t1,16.7,8,0
25-May,B5,5,HN,predrought,t1,15.5,6,0
25-May,B5,6,HN,predrought,t1,19.6,8,0
25-May,B5,7,HN,predrought,t1,18.9,8,0
25-May,B5,8,HN,predrought,t1,18,8,0
25-May,B6,1,HN,predrought,t1,18,8,0
25-May,B6,2,HN,predrought,t1,17.1,8,0
25-May,B6,3,HN,predrought,t1,14,7,0
25-May,B6,4,HN,predrought,t1,17.3,8,0
25-May,B6,5,HN,predrought,t1,18.1,8,0
25-May,B6,6,HN,predrought,t1,18,8,0
25-May,B6,7,HN,predrought,t1,18.5,8,0
25-May,B6,8,HN,predrought,t1,16.6,7,0
24-May,B7,1,LN,predrought,t1,21.1,8,0
24-May,B7,2,LN,predrought,t1,18.5,8,0
24-May,B7,3,LN,predrought,t1,18.9,8,0
24-May,B7,4,LN,predrought,t1,14.9,8,0
24-May,B7,5,LN,predrought,t1,22.1,8,0
24-May,B7,6,LN,predrought,t1,18.8,8,0
24-May,B7,7,LN,predrought,t1,21.7,8,0
24-May,B7,8,LN,predrought,t1,17.4,7,0
24-May,B2,1,LN,predrought,t1,19.2,8,0
24-May,B2,2,LN,predrought,t1,17,7,0
24-May,B2,3,LN,predrought,t1,17,7,0
24-May,B2,4,LN,predrought,t1,17.1,7,0
24-May,B2,5,LN,predrought,t1,18.2,8,0
24-May,B2,6,LN,predrought,t1,9.2,4,0
24-May,B2,7,LN,predrought,t1,16.4,6,0
24-May,B2,8,LN,predrought,t1,16.4,6,0
24-May,B3,1,LN,predrought,t1,20.2,8,0
24-May,B3,2,LN,predrought,t1,13.1,7,0
24-May,B3,3,LN,predrought,t1,18.2,8,0
24-May,B3,4,LN,predrought,t1,17.5,8,0
24-May,B3,5,LN,predrought,t1,20,8,0
24-May,B3,6,LN,predrought,t1,25,9,0
25-May,B3,7,LN,predrought,t1,19.6,8,0
24-May,B3,8,LN,predrought,t1,18.3,7,0
12-Jun,B1,1,HN,WW,t2,17.4,10,4
12-Jun,B1,2,HN,WW,t2,22.1,11,4
12-Jun,B1,3,HN,WW,t2,18.9,10,4
12-Jun,B1,4,HN,WW,t2,18,10,4
13-Jun,B1,5,HN,WW,t2,14.1,10,4
12-Jun,B1,6,HN,WW,t2,17.2,10,4
12-Jun,B1,7,HN,WW,t2,22,10,4
12-Jun,B1,8,HN,WW,t2,21.6,10,4
12-Jun,B5,1,HN,SPD,t2,18.9,10,4
12-Jun,B5,2,HN,SPD,t2,20.7,10,4
12-Jun,B5,3,HN,SPD,t2,22,10,4
12-Jun,B5,4,HN,SPD,t2,14.4,10,4
19-Jun,B5,5,HN,SPD,t2,15.6,10,4
12-Jun,B5,6,HN,SPD,t2,24.2,10,4
12-Jun,B5,7,HN,SPD,t2,20.8,10,4
12-Jun,B5,8,HN,SPD,t2,23.2,10,4
14-Jun,B6,1,HN,FDD,t2,18.7,10,4
14-Jun,B6,2,HN,FDD,t2,22.9,10,4
19-Jun,B6,3,HN,FDD,t2,18.6,10,4
12-Jun,B6,4,HN,FDD,t2,17,10,4
14-Jun,B6,5,HN,FDD,t2,23.4,10,4
14-Jun,B6,6,HN,FDD,t2,22.5,10,4
12-Jun,B6,7,HN,FDD,t2,24.5,11,4
19-Jun,B6,8,HN,FDD,t2,26,10,4
12-Jun,B7,1,LN,WW,t2,20.5,10,4
12-Jun,B7,2,LN,WW,t2,21,10,4
12-Jun,B7,3,LN,WW,t2,16,9,4
12-Jun,B7,4,LN,WW,t2,20.9,10,4
12-Jun,B7,5,LN,WW,t2,21.8,10,4
12-Jun,B7,6,LN,WW,t2,27,10,4
12-Jun,B7,7,LN,WW,t2,18.9,11,4
12-Jun,B7,8,LN,WW,t2,20.6,10,4
14-Jun,B2,1,LN,SPD,t2,22.1,10,4
19-Jun,B2,2,LN,SPD,t2,24.2,10,4
14-Jun,B2,3,LN,SPD,t2,22.5,10,4
19-Jun,B2,4,LN,SPD,t2,27.3,10,4
14-Jun,B2,5,LN,SPD,t2,25,10,4
14-Jun,B2,6,LN,SPD,t2,18.9,10,4
19-Jun,B2,7,LN,SPD,t2,21.9,10,4
14-Jun,B2,8,LN,SPD,t2,25,11,4
19-Jun,B3,1,LN,FDD,t2,21,10,4
19-Jun,B3,2,LN,FDD,t2,23.9,10,4
19-Jun,B3,3,LN,FDD,t2,24.9,10,4
19-Jun,B3,4,LN,FDD,t2,28.6,10,4
14-Jun,B3,5,LN,FDD,t2,25.2,10,4
14-Jun,B3,6,LN,FDD,t2,26.8,11,4
19-Jun,B3,7,LN,FDD,t2,23.7,10,4
14-Jun,B3,8,LN,FDD,t2,22.9,10,4
24-Jun,B1,1,HN,WW,t3,24.4,10,4
24-Jun,B1,2,HN,WW,t3,22.7,10,4
24-Jun,B1,3,HN,WW,t3,20.8,10,4
24-Jun,B1,4,HN,WW,t3,22.2,10,4
24-Jun,B1,5,HN,WW,t3,20,10,4
24-Jun,B1,6,HN,WW,t3,27.4,11,4
25-Jun,B1,7,HN,WW,t3,19.5,10,4
25-Jun,B1,8,HN,WW,t3,23.7,11,4
23-Jun,B5,1,HN,SPD,t3,22,10,4
23-Jun,B5,2,HN,SPD,t3,22,10,4
23-Jun,B5,3,HN,SPD,t3,24.1,10,4
23-Jun,B5,4,HN,SPD,t3,20.1,10,4
30-Jun,B5,5,HN,SPD,t3,21.7,11,4
23-Jun,B5,6,HN,SPD,t3,30.4,10,4
23-Jun,B5,7,HN,SPD,t3,25.6,10,4
23-Jun,B5,8,HN,SPD,t3,26.4,10,4
23-Jun,B6,1,HN,FDD,t3,32,11,4
23-Jun,B6,2,HN,FDD,t3,23.7,10,4
30-Jun,B6,3,HN,FDD,t3,22.3,10,4
23-Jun,B6,4,HN,FDD,t3,24.3,10,4
23-Jun,B6,5,HN,FDD,t3,26,9,4
23-Jun,B6,6,HN,FDD,t3,29.3,10,4
24-Jun,B6,7,HN,FDD,t3,21.8,9,4
30-Jun,B6,8,HN,FDD,t3,29.6,10,4
25-Jun,B7,1,LN,WW,t3,23.2,10,4
25-Jun,B7,2,LN,WW,t3,30.9,10,4
25-Jun,B7,3,LN,WW,t3,26.6,10,4
25-Jun,B7,4,LN,WW,t3,30.4,10,4
25-Jun,B7,5,LN,WW,t3,28.5,10,4
25-Jun,B7,6,LN,WW,t3,38.6,10,4
25-Jun,B7,7,LN,WW,t3,21.4,10,4
25-Jun,B7,8,LN,WW,t3,26.4,10,4
24-Jun,B2,1,LN,SPD,t3,22.9,10,4
30-Jun,B2,2,LN,SPD,t3,28.9,10,4
24-Jun,B2,3,LN,SPD,t3,25.6,10,4
30-Jun,B2,4,LN,SPD,t3,27.4,10,4
24-Jun,B2,5,LN,SPD,t3,30.1,10,4
24-Jun,B2,6,LN,SPD,t3,19.6,9,4
30-Jun,B2,7,LN,SPD,t3,25,10,4
24-Jun,B2,8,LN,SPD,t3,28.8,10,4
30-Jun,B3,1,LN,FDD,t3,24.4,10,4
30-Jun,B3,2,LN,FDD,t3,27,10,4
30-Jun,B3,3,LN,FDD,t3,26.7,10,4
30-Jun,B3,4,LN,FDD,t3,29.3,10,4
24-Jun,B3,5,LN,FDD,t3,26.6,10,4
24-Jun,B3,6,LN,FDD,t3,26.8,10,4
30-Jun,B3,7,LN,FDD,t3,28.7,10,4
24-Jun,B3,8,LN,FDD,t3,23.9,10,4
3-Jul,B1,1,HN,WW,t4,23.7,10,4
3-Jul,B1,2,HN,WW,t4,21.7,10,4
3-Jul,B1,3,HN,WW,t4,21.5,10,4
3-Jul,B1,4,HN,WW,t4,28.3,11,4
3-Jul,B1,5,HN,WW,t4,20.5,10,4
3-Jul,B1,6,HN,WW,t4,23.8,10,4
3-Jul,B1,7,HN,WW,t4,25.8,10,4
3-Jul,B1,8,HN,WW,t4,25.3,10,4
3-Jul,B5,1,HN,SPD,t4,39.7,11,4
3-Jul,B5,2,HN,SPD,t4,27.8,10,4
3-Jul,B5,3,HN,SPD,t4,25.1,10,4
3-Jul,B5,4,HN,SPD,t4,23.4,10,4
7-Jul,B5,5,HN,SPD,t4,20.5,10,4
3-Jul,B5,6,HN,SPD,t4,30.6,10,4
3-Jul,B5,7,HN,SPD,t4,35.5,11,4
3-Jul,B5,8,HN,SPD,t4,36.5,11,4
4-Jul,B6,1,HN,FDD,t4,27.1,10,4
4-Jul,B6,2,HN,FDD,t4,27.1,11,4
7-Jul,B6,3,HN,FDD,t4,22.7,10,4
4-Jul,B6,4,HN,FDD,t4,22.6,10,4
4-Jul,B6,5,HN,FDD,t4,26.1,10,4
4-Jul,B6,6,HN,FDD,t4,38.6,12,4
4-Jul,B6,7,HN,FDD,t4,35.7,11,4
7-Jul,B6,8,HN,FDD,t4,26.6,10,4
4-Jul,B7,1,LN,WW,t4,24.2,10,4
4-Jul,B7,2,LN,WW,t4,28.7,10,4
4-Jul,B7,3,LN,WW,t4,21,10,4
3-Jul,B7,4,LN,WW,t4,26,10,4
3-Jul,B7,5,LN,WW,t4,30.7,10,4
3-Jul,B7,6,LN,WW,t4,34.7,11,4
3-Jul,B7,7,LN,WW,t4,26.8,10,4
3-Jul,B7,8,LN,WW,t4,26.4,10,4
4-Jul,B2,1,LN,SPD,t4,29.1,10,4
7-Jul,B2,2,LN,SPD,t4,29.6,10,4
4-Jul,B2,3,LN,SPD,t4,31.6,10,4
7-Jul,B2,4,LN,SPD,t4,31.1,10,4
4-Jul,B2,5,LN,SPD,t4,35.2,10,4
4-Jul,B2,6,LN,SPD,t4,26.7,10,4
7-Jul,B2,7,LN,SPD,t4,33.5,11,4
4-Jul,B2,8,LN,SPD,t4,30.2,10,4
7-Jul,B3,1,LN,FDD,t4,28.8,10,4
7-Jul,B3,2,LN,FDD,t4,26.1,10,4
7-Jul,B3,3,LN,FDD,t4,34.3,11,4
7-Jul,B3,4,LN,FDD,t4,27.7,10,4
4-Jul,B3,5,LN,FDD,t4,29.7,10,4
4-Jul,B3,6,LN,FDD,t4,34.7,10,4
7-Jul,B3,7,LN,FDD,t4,28.1,10,4
7-Jul,B3,8,LN,FDD,t4,27,10,4
